Date,CountryCode,SubscriberID,CustomerId,ContentType,Title,Episode,SeriesTitle,ReleaseYear,Duration,Season,Genres,DeviceType,TypeEvent,Position,Language,Bitrate,BufferTime,PlaybackNetTime,deviceDescription,CALC_ProgramType,CALC_BitrateType
2026-01-01 01:23:19,CO,672427f7f577cd0008dabcaa,69508ddec788eafebe5905f7,EPISODE,"ARTE Y PASION - CARLOS CAICEDO, REPORTERO GRAFICO",1,ARTE Y PASION,2023.0,387,1,Series,ANDR,START,1079999,ES,18197686,,0,tbxandroidapp.winsports/1.0.0 (Android 15; false) mobile (false 2303ERA42L),SERIE,HIGH
2026-01-01 08:58:00,CO,0d1687a87910142138053d8fb3db6ec7390020a9,69553fe8c788eafebe63de75,MOVIE,PARTIDO APARTE,0,MISCELLANEOUS,2024.0,3540,0,Miscellaneous,WEB,START,0,ES,1626719,,0,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",SERIE,LOW
2026-01-01 08:58:05,CO,0d1687a87910142138053d8fb3db6ec7390020a9,69553fe8c788eafebe63de75,MOVIE,PARTIDO APARTE,0,MISCELLANEOUS,2024.0,3540,0,Miscellaneous,WEB,START-BUFFERING,0,ES,6068176,6.805,0,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",SERIE,HIGH
2026-01-01 08:58:27,CO,0d1687a87910142138053d8fb3db6ec7390020a9,69553fe8c788eafebe63de75,MOVIE,PARTIDO APARTE,0,MISCELLANEOUS,2024.0,3540,0,Miscellaneous,WEB,PAUSE,22,ES,6068176,,22,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",SERIE,HIGH
2026-01-01 08:59:25,CO,0d1687a87910142138053d8fb3db6ec7390020a9,69553fe8c788eafebe63de75,MOVIE,PARTIDO APARTE,0,MISCELLANEOUS,2024.0,3540,0,Miscellaneous,WEB,RESUME,22,ES,6068176,,22,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",SERIE,HIGH
2026-01-01 09:05:38,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,START,1,ES,0,,0,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,LOW
2026-01-01 09:06:08,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,PROGRESSMARK,41,ES,6628012,,41,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,HIGH
2026-01-01 09:07:08,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,FIRSTQUARTILE,102,ES,6628012,,102,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,HIGH
2026-01-01 09:08:39,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,MIDPOINT,205,ES,6628012,,205,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,HIGH
2026-01-01 09:09:36,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,START-BUFFERING,0,ES,6118649,1.598,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:09:36,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,START,0,ES,6118649,,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:09:54,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,PAUSE,17,ES,6118649,,17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:10:36,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,RESUME,17,ES,6118649,,17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:10:39,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,THIRDQUARTILE,307,ES,6628012,,307,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,HIGH
2026-01-01 09:11:16,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,RESUME,57,ES,6118649,,57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:11:16,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,PAUSE,57,ES,6118649,,57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:11:24,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,PAUSE,65,ES,6118649,,65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:11:40,CO,33-2506805924,694576d8c788eafebeda0953,EPISODE,WIN FIT - CAPITULO 4: RUTINA RUNNING CON MARIA JULIANA,4,WIN FIT,2025.0,397,1,Series,IOS,COMPLETE,379,ES,6628012,,397,"tbxiosapp.winsports/1.0.1 (iOS 26.1; false) mobile (false iPhone16,1)",SERIE,HIGH
2026-01-01 09:11:59,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,RESUME,65,ES,6118649,,65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:20:34,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,PAUSE,579,ES,6118649,,579,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
2026-01-01 09:21:24,ES,6266c9d45554b1082f7f4ab3,69544a40c788eafebe2cfcf9,EPISODE,ATLETICO NACIONAL VS ONCE CALDAS,4,LIGA BETPLAY DIMAYOR 2025-1,2025.0,6528,1,Programas,WEB,RESUME,579,ES,6118649,,579,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",SERIE,HIGH
